alt (m)  	time 	
1354178.3635	2014-08-26 02:41:26.426214	
1354176.0774000001	2014-08-26 02:41:27.446369	
1354173.7646000001	2014-08-26 02:41:28.466521	
1354171.425	2014-08-26 02:41:29.486675	
1354169.0586000001	2014-08-26 02:41:30.506829	
1354166.6655000001	2014-08-26 02:41:31.526982	
1354164.2457000001	2014-08-26 02:41:32.547136	
1354161.7990999999	2014-08-26 02:41:33.567291	
1354159.3258	2014-08-26 02:41:34.587444	
1354156.8258	2014-08-26 02:41:35.607598	
1354154.2992	2014-08-26 02:41:36.627752	
1354151.7457999999	2014-08-26 02:41:37.647906	
1354147.9017	2014-08-26 02:41:39.164048	
1354145.2819999999	2014-08-26 02:41:40.184199	
1354142.6355999999	2014-08-26 02:41:41.204354	
1354139.9626	2014-08-26 02:41:42.224507	
1354137.263	2014-08-26 02:41:43.244661	
1354134.5367000001	2014-08-26 02:41:44.264814	
1354131.7838000001	2014-08-26 02:41:45.284969	
1354129.0042999999	2014-08-26 02:41:46.305122	
1354126.1982	2014-08-26 02:41:47.325277	
1354123.3655000001	2014-08-26 02:41:48.345430	
1354120.5061999999	2014-08-26 02:41:49.365584	
1354117.6203000001	2014-08-26 02:41:50.385738	
1354114.7079	2014-08-26 02:41:51.405890	
1354111.7689	2014-08-26 02:41:52.426045	
1354108.8034000001	2014-08-26 02:41:53.446197	
1354105.8112999999	2014-08-26 02:41:54.466352	
1354102.7927000001	2014-08-26 02:41:55.486505	
1354099.7475999999	2014-08-26 02:41:56.506659	
1354096.676	2014-08-26 02:41:57.526813	
1354093.5778999999	2014-08-26 02:41:58.546967	
1354090.4532999999	2014-08-26 02:41:59.567120	
1354087.3023000001	2014-08-26 02:42:00.587274	
1354084.1247	2014-08-26 02:42:01.607429	
1354080.9208	2014-08-26 02:42:02.627582	
1354077.6904	2014-08-26 02:42:03.647734	
1354074.4336000001	2014-08-26 02:42:04.667889	
1354071.1503000001	2014-08-26 02:42:05.688042	
1354067.8407000001	2014-08-26 02:42:06.708197	
1354064.5046999999	2014-08-26 02:42:07.728349	
1354061.1422999999	2014-08-26 02:42:08.748504	
1354057.7535000001	2014-08-26 02:42:09.768657	
1354054.3382999999	2014-08-26 02:42:10.788811	
1354050.8969000001	2014-08-26 02:42:11.808964	
1354047.4291000001	2014-08-26 02:42:12.829119	
1354043.9349	2014-08-26 02:42:13.849272	
1354040.4145	2014-08-26 02:42:14.869426	
1354036.8677000001	2014-08-26 02:42:15.889579	
1354033.2947	2014-08-26 02:42:16.909734	
1354029.6954000001	2014-08-26 02:42:17.929886	
1354026.0699	2014-08-26 02:42:18.950041	
1354022.4180999999	2014-08-26 02:42:19.970194	
1354017.2544	2014-08-26 02:42:21.400352	
1354013.5397000001	2014-08-26 02:42:22.420506	
1354009.7986999999	2014-08-26 02:42:23.440659	
1354006.0315	2014-08-26 02:42:24.460814	
1354002.2381	2014-08-26 02:42:25.480967	
1353998.4186	2014-08-26 02:42:26.501121	
1353994.5730000001	2014-08-26 02:42:27.521275	
1353989.1043	2014-08-26 02:42:28.960178	
1353985.1957	2014-08-26 02:42:29.980330	
1353981.2609000001	2014-08-26 02:42:31.000484	
1353976.9291000001	2014-08-26 02:42:32.115852	
1353972.5584	2014-08-26 02:42:33.233164	
1353961.9550000001	2014-08-26 02:42:35.911311	
1353958.8888000001	2014-08-26 02:42:36.677398	
1353954.4908	2014-08-26 02:42:37.769933	
1353950.3572	2014-08-26 02:42:38.790088	
1353946.1976000001	2014-08-26 02:42:39.810241	
1353942.0120000001	2014-08-26 02:42:40.830395	
1353939.3759000001	2014-08-26 02:42:41.469691	
1353935.1481000001	2014-08-26 02:42:42.489843	
1353930.8944000001	2014-08-26 02:42:43.509998	
1353926.6148000001	2014-08-26 02:42:44.530151	
1353922.3093000001	2014-08-26 02:42:45.550305	
1353917.9779000001	2014-08-26 02:42:46.570459	
1353913.6207000001	2014-08-26 02:42:47.590613	
1353909.2376000001	2014-08-26 02:42:48.610766	
1353904.8287	2014-08-26 02:42:49.630920	
1353900.3939	2014-08-26 02:42:50.651075	
1353895.9332999999	2014-08-26 02:42:51.671228	
1353891.4469999999	2014-08-26 02:42:52.691380	
1353886.9349	2014-08-26 02:42:53.711536	
1353882.3970000001	2014-08-26 02:42:54.731688	
1353877.8333999999	2014-08-26 02:42:55.751843	
1353873.2439999999	2014-08-26 02:42:56.771995	
1353868.6288999999	2014-08-26 02:42:57.792150	
1353863.9882	2014-08-26 02:42:58.812303	
1353859.3217	2014-08-26 02:42:59.832457	
1353854.6296999999	2014-08-26 02:43:00.852610	
1353849.9118999999	2014-08-26 02:43:01.872765	
1353845.1684999999	2014-08-26 02:43:02.892918	
1353840.3996000001	2014-08-26 02:43:03.913072	
1353835.605	2014-08-26 02:43:04.933224	
1353830.7848	2014-08-26 02:43:05.953380	
1353825.9391000001	2014-08-26 02:43:06.973532	
1353821.0678999999	2014-08-26 02:43:07.993687	
1353816.1710999999	2014-08-26 02:43:09.013840	
1353811.2487999999	2014-08-26 02:43:10.033993	
1353806.301	2014-08-26 02:43:11.054147	
1353801.3278000001	2014-08-26 02:43:12.074302	
1353796.3289999999	2014-08-26 02:43:13.094455	
1353791.3049000001	2014-08-26 02:43:14.114609	
1353786.2553000001	2014-08-26 02:43:15.134762	
1353781.1802999999	2014-08-26 02:43:16.154917	
1353776.0800000001	2014-08-26 02:43:17.175070	
1353770.9542	2014-08-26 02:43:18.195224	
1353765.8032	2014-08-26 02:43:19.215376	
1353760.6268	2014-08-26 02:43:20.235532	
1353755.425	2014-08-26 02:43:21.255684	
1353750.1980000001	2014-08-26 02:43:22.275837	
1353744.9457	2014-08-26 02:43:23.295991	
1353739.6682	2014-08-26 02:43:24.316145	
1353734.3654	2014-08-26 02:43:25.336300	
1353729.0374	2014-08-26 02:43:26.356453	
1353723.6842	2014-08-26 02:43:27.376607	
1353718.3058	2014-08-26 02:43:28.396760	
1353712.9021999999	2014-08-26 02:43:29.416915	
1353707.4735000001	2014-08-26 02:43:30.437068	
1353702.0197000001	2014-08-26 02:43:31.457220	
1353696.5408000001	2014-08-26 02:43:32.477374	
1353691.0367999999	2014-08-26 02:43:33.497528	
1353685.5077	2014-08-26 02:43:34.517682	
1353679.9535000001	2014-08-26 02:43:35.537835	
1353674.3744000001	2014-08-26 02:43:36.557990	
1353668.7701999999	2014-08-26 02:43:37.578143	
1353663.1410999999	2014-08-26 02:43:38.598297	
1353657.4868999999	2014-08-26 02:43:39.618451	
1353651.8078999999	2014-08-26 02:43:40.638605	
1353646.1039	2014-08-26 02:43:41.658759	
1353640.375	2014-08-26 02:43:42.678912	
1353634.6211999999	2014-08-26 02:43:43.699064	
1353628.8425	2014-08-26 02:43:44.719220	
1353623.0390000001	2014-08-26 02:43:45.739372	
1353617.2106999999	2014-08-26 02:43:46.759526	
1353611.3576	2014-08-26 02:43:47.779679	
1353605.4796	2014-08-26 02:43:48.799834	
1353599.577	2014-08-26 02:43:49.819987	
1353593.6495000001	2014-08-26 02:43:50.840141	
1353587.6973999999	2014-08-26 02:43:51.860295	
1353581.7205000001	2014-08-26 02:43:52.880449	
1353575.719	2014-08-26 02:43:53.900601	
1353569.6928000001	2014-08-26 02:43:54.920756	
1353563.642	2014-08-26 02:43:55.940909	
1353557.5666	2014-08-26 02:43:56.961064	
1353551.4665000001	2014-08-26 02:43:57.981216	
1353545.3418999999	2014-08-26 02:43:59.001369	
1353539.1928000001	2014-08-26 02:44:00.021524	
1353533.0190999999	2014-08-26 02:44:01.041678	
1353526.8208999999	2014-08-26 02:44:02.061831	
1353520.5981999999	2014-08-26 02:44:03.081986	
1353514.3511000001	2014-08-26 02:44:04.102139	
1353508.0795	2014-08-26 02:44:05.122293	
1353501.7836	2014-08-26 02:44:06.142446	
1353495.4632000001	2014-08-26 02:44:07.162601	
1353489.1184	2014-08-26 02:44:08.182753	
1353482.7493	2014-08-26 02:44:09.202908	
1353476.3559000001	2014-08-26 02:44:10.223060	
1353469.9380999999	2014-08-26 02:44:11.243214	
1353463.4961000001	2014-08-26 02:44:12.263368	
1353457.0299	2014-08-26 02:44:13.283521	
1353448.9935000001	2014-08-26 02:44:14.546084	
1353442.473	2014-08-26 02:44:15.566237	
1353437.9909999999	2014-08-26 02:44:16.265285	
1353428.2875000001	2014-08-26 02:44:17.772684	
1353421.6906000001	2014-08-26 02:44:18.792839	
1353415.0696	2014-08-26 02:44:19.812993	
1353408.4245	2014-08-26 02:44:20.833145	
1353401.4816999999	2014-08-26 02:44:21.895077	
1353394.7875999999	2014-08-26 02:44:22.915228	
1353388.0693999999	2014-08-26 02:44:23.935383	
1353381.3271999999	2014-08-26 02:44:24.955536	
1353374.5611	2014-08-26 02:44:25.975690	
1353366.8573	2014-08-26 02:44:27.132836	
1353359.4513999999	2014-08-26 02:44:28.240919	
1353352.6083	2014-08-26 02:44:29.261072	
1353345.7412	2014-08-26 02:44:30.281225	
1353338.8504000001	2014-08-26 02:44:31.301379	
1353331.9357	2014-08-26 02:44:32.321531	
1353324.9972000001	2014-08-26 02:44:33.341686	
1353318.0349999999	2014-08-26 02:44:34.361839	
1353311.0490000001	2014-08-26 02:44:35.381993	
1353304.0393000001	2014-08-26 02:44:36.402146	
1353297.0060000001	2014-08-26 02:44:37.422300	
1353289.9489	2014-08-26 02:44:38.442454	
1353282.8681999999	2014-08-26 02:44:39.462608	
1353275.7638999999	2014-08-26 02:44:40.482761	
1353268.6359999999	2014-08-26 02:44:41.502916	
1353261.4846000001	2014-08-26 02:44:42.523068	
1353254.3096	2014-08-26 02:44:43.543223	
1353247.1111000001	2014-08-26 02:44:44.563375	
1353239.8891	2014-08-26 02:44:45.583531	
1353232.6436999999	2014-08-26 02:44:46.603683	
1353225.3748000001	2014-08-26 02:44:47.623836	
1353218.0825	2014-08-26 02:44:48.643990	
1353210.7668000001	2014-08-26 02:44:49.664145	
1353199.2481	2014-08-26 02:44:51.263842	
1353191.8724	2014-08-26 02:44:52.283998	
1353184.4735000001	2014-08-26 02:44:53.304152	
1353177.0514	2014-08-26 02:44:54.324305	
1353169.6059999999	2014-08-26 02:44:55.344460	
1353162.1373999999	2014-08-26 02:44:56.364612	
1353157.0633	2014-08-26 02:44:57.055887	
1353149.5558	2014-08-26 02:44:58.076043	
1353142.0252	2014-08-26 02:44:59.096195	
1353138.0138000001	2014-08-26 02:44:59.638333	
1353130.4478	2014-08-26 02:45:00.658487	
1353122.8587	2014-08-26 02:45:01.678640	
1353115.2466	2014-08-26 02:45:02.698795	
1353107.6114000001	2014-08-26 02:45:03.718949	
1353099.9532999999	2014-08-26 02:45:04.739102	
1353092.2722	2014-08-26 02:45:05.759257	
1353084.5682000001	2014-08-26 02:45:06.779410	
1353075.4147999999	2014-08-26 02:45:07.987564	
1353066.4735000001	2014-08-26 02:45:09.163653	
1353058.6932000001	2014-08-26 02:45:10.183806	
1353050.8899999999	2014-08-26 02:45:11.203960	
1353043.0641000001	2014-08-26 02:45:12.224113	
1353035.2153	2014-08-26 02:45:13.244268	
1353027.3439	2014-08-26 02:45:14.264421	
1353019.4498000001	2014-08-26 02:45:15.284575	
1353011.5330000001	2014-08-26 02:45:16.304729	
1353003.5935	2014-08-26 02:45:17.324883	
1352995.6314000001	2014-08-26 02:45:18.345037	
1352987.6468	2014-08-26 02:45:19.365189	
1352979.6396000001	2014-08-26 02:45:20.385344	
1352971.6098	2014-08-26 02:45:21.405496	
1352963.5575999999	2014-08-26 02:45:22.425651	
1352955.4828999999	2014-08-26 02:45:23.445804	
1352947.3857	2014-08-26 02:45:24.465958	
1352939.2660999999	2014-08-26 02:45:25.486111	
1352931.1242	2014-08-26 02:45:26.506266	
1352922.9598999999	2014-08-26 02:45:27.526419	
1352914.7731999999	2014-08-26 02:45:28.546573	
1352906.5643	2014-08-26 02:45:29.566728	
1352898.3330999999	2014-08-26 02:45:30.586881	
1352890.0797000001	2014-08-26 02:45:31.607033	
1352881.804	2014-08-26 02:45:32.627188	
1352873.5061999999	2014-08-26 02:45:33.647341	
1352865.1862000001	2014-08-26 02:45:34.667496	
1352856.8441000001	2014-08-26 02:45:35.687648	
1352848.4798999999	2014-08-26 02:45:36.707802	
1352840.0937000001	2014-08-26 02:45:37.727956	
1352831.6854000001	2014-08-26 02:45:38.748110	
1352823.2552	2014-08-26 02:45:39.768263	
1352814.0935	2014-08-26 02:45:40.873916	
1352805.6174999999	2014-08-26 02:45:41.894070	
1352797.1196000001	2014-08-26 02:45:42.914224	
1352788.5998	2014-08-26 02:45:43.934376	
1352780.0582000001	2014-08-26 02:45:44.954531	
1352771.1558999999	2014-08-26 02:45:46.015004	
1352762.5697999999	2014-08-26 02:45:47.035157	
1352753.9619	2014-08-26 02:45:48.055311	
1352745.3324	2014-08-26 02:45:49.075464	
1352740.2637	2014-08-26 02:45:49.673471	
1352731.5998	2014-08-26 02:45:50.693624	
1352722.9142	2014-08-26 02:45:51.713778	
1352689.2816999999	2014-08-26 02:45:55.640397	
1352680.8562	2014-08-26 02:45:56.618289	
1352665.5961	2014-08-26 02:45:58.383639	
1352656.7483999999	2014-08-26 02:45:59.403794	
1352647.8794	2014-08-26 02:46:00.423947	
1352638.9890000001	2014-08-26 02:46:01.444101	
1352630.0773	2014-08-26 02:46:02.464255	
1352621.1443	2014-08-26 02:46:03.484409	
1352612.1901	2014-08-26 02:46:04.504563	
1352603.2146999999	2014-08-26 02:46:05.524716	
1352594.2182	2014-08-26 02:46:06.544871	
1352585.2004	2014-08-26 02:46:07.565024	
1352576.1616	2014-08-26 02:46:08.585176	
1352567.1017	2014-08-26 02:46:09.605330	
1352558.0208000001	2014-08-26 02:46:10.625484	
1352548.9188000001	2014-08-26 02:46:11.645638	
1352539.7958	2014-08-26 02:46:12.665791	
1352530.6518999999	2014-08-26 02:46:13.685945	
1352521.4871	2014-08-26 02:46:14.706099	
1352512.3014	2014-08-26 02:46:15.726253	
1352503.0948999999	2014-08-26 02:46:16.746407	
1352493.8676	2014-08-26 02:46:17.766560	
1352484.6194	2014-08-26 02:46:18.786713	
1352475.3504999999	2014-08-26 02:46:19.806868	
1352466.061	2014-08-26 02:46:20.827020	
1352456.7507	2014-08-26 02:46:21.847175	
1352447.4198	2014-08-26 02:46:22.867328	
1352438.0682000001	2014-08-26 02:46:23.887482	
1352428.6961000001	2014-08-26 02:46:24.907635	
1352419.3034000001	2014-08-26 02:46:25.927790	
1352409.8903000001	2014-08-26 02:46:26.947943	
1352400.4565999999	2014-08-26 02:46:27.968097	
1352391.0024999999	2014-08-26 02:46:28.988249	
1352381.5279999999	2014-08-26 02:46:30.008405	
1352372.0331999999	2014-08-26 02:46:31.028557	
1352362.5179000001	2014-08-26 02:46:32.048712	
1352352.9824000001	2014-08-26 02:46:33.068864	
1352343.4265999999	2014-08-26 02:46:34.089020	
1352333.8506	2014-08-26 02:46:35.109172	
1352324.2542999999	2014-08-26 02:46:36.129326	
1352314.6379	2014-08-26 02:46:37.149479	
1352305.0014	2014-08-26 02:46:38.169634	
1352295.3448000001	2014-08-26 02:46:39.189787	
1352285.6680999999	2014-08-26 02:46:40.209941	
1352275.9713000001	2014-08-26 02:46:41.230094	
1352266.2546000001	2014-08-26 02:46:42.250249	
1352256.5179000001	2014-08-26 02:46:43.270401	
1352246.7612999999	2014-08-26 02:46:44.290556	
1352236.9848	2014-08-26 02:46:45.310708	
1352227.1884999999	2014-08-26 02:46:46.330862	
1352217.3722999999	2014-08-26 02:46:47.351016	
1352207.5364000001	2014-08-26 02:46:48.371170	
1352197.6806999999	2014-08-26 02:46:49.391324	
1352187.8052999999	2014-08-26 02:46:50.411477	
1352177.9102	2014-08-26 02:46:51.431632	
1352167.9955	2014-08-26 02:46:52.451785	
1352158.0612000001	2014-08-26 02:46:53.471939	
1352148.1073	2014-08-26 02:46:54.492092	
1352138.1339	2014-08-26 02:46:55.512245	
1352128.1410000001	2014-08-26 02:46:56.532399	
1352118.1285999999	2014-08-26 02:46:57.552552	
1352108.0967999999	2014-08-26 02:46:58.572706	
1352098.0456000001	2014-08-26 02:46:59.592860	
1352087.9750999999	2014-08-26 02:47:00.613014	
1352077.8853	2014-08-26 02:47:01.633168	
1352067.7762	2014-08-26 02:47:02.653321	
1352057.6477999999	2014-08-26 02:47:03.673476	
1352047.5003	2014-08-26 02:47:04.693629	
1352037.3336	2014-08-26 02:47:05.713781	
1352027.1477000001	2014-08-26 02:47:06.733937	
1352016.9428000001	2014-08-26 02:47:07.754089	
1352006.7187999999	2014-08-26 02:47:08.774243	
1351996.4757999999	2014-08-26 02:47:09.794396	
1351986.2137	2014-08-26 02:47:10.814551	
1351975.9328000001	2014-08-26 02:47:11.834704	
1351965.6329999999	2014-08-26 02:47:12.854858	
1351955.3143	2014-08-26 02:47:13.875011	
1351944.9767	2014-08-26 02:47:14.895166	
1351934.6203000001	2014-08-26 02:47:15.915320	
1351924.2453000001	2014-08-26 02:47:16.935473	
1351913.8515000001	2014-08-26 02:47:17.955625	
1351903.4389	2014-08-26 02:47:18.975781	
1351893.0078	2014-08-26 02:47:19.995933	
1351882.558	2014-08-26 02:47:21.016088	
1351872.0896999999	2014-08-26 02:47:22.036240	
1351861.6029000001	2014-08-26 02:47:23.056395	
1351851.0976	2014-08-26 02:47:24.076548	
1351840.5737999999	2014-08-26 02:47:25.096702	
1351830.0316000001	2014-08-26 02:47:26.116855	
1351819.4709999999	2014-08-26 02:47:27.137010	
1351808.8921000001	2014-08-26 02:47:28.157162	
1351798.2948	2014-08-26 02:47:29.177317	
1351787.6794	2014-08-26 02:47:30.197470	
1351777.0456000001	2014-08-26 02:47:31.217625	
1351766.3938	2014-08-26 02:47:32.237777	
1351755.7237	2014-08-26 02:47:33.257930	
1351745.0356000001	2014-08-26 02:47:34.278085	
1351734.3293999999	2014-08-26 02:47:35.298239	
1351723.6051	2014-08-26 02:47:36.318393	
1351712.8629000001	2014-08-26 02:47:37.338546	
1351702.1026999999	2014-08-26 02:47:38.358700	
1351691.3245999999	2014-08-26 02:47:39.378853	
1351680.5286999999	2014-08-26 02:47:40.399008	
1351669.7149	2014-08-26 02:47:41.419160	
1351658.8833000001	2014-08-26 02:47:42.439313	
1351648.0338999999	2014-08-26 02:47:43.459467	
1351637.1669000001	2014-08-26 02:47:44.479621	
1351626.2821	2014-08-26 02:47:45.499775	
1351615.3796999999	2014-08-26 02:47:46.519929	
1351604.4598000001	2014-08-26 02:47:47.540082	
1351593.5222	2014-08-26 02:47:48.560237	
1351582.5671999999	2014-08-26 02:47:49.580390	
1351571.5947	2014-08-26 02:47:50.600544	
1351560.6047	2014-08-26 02:47:51.620697	
1351549.5974000001	2014-08-26 02:47:52.640850	
1351538.5726000001	2014-08-26 02:47:53.661004	
1351527.5305999999	2014-08-26 02:47:54.681157	
1351516.4713000001	2014-08-26 02:47:55.701312	
1351505.3947000001	2014-08-26 02:47:56.721465	
1351494.301	2014-08-26 02:47:57.741619	
1351483.1901	2014-08-26 02:47:58.761772	
1351472.0621	2014-08-26 02:47:59.781927	
1351460.9169999999	2014-08-26 02:48:00.802081	
1351449.7549000001	2014-08-26 02:48:01.822234	
1351438.5758	2014-08-26 02:48:02.842386	
1351427.3796999999	2014-08-26 02:48:03.862542	
1351416.1666999999	2014-08-26 02:48:04.882694	
1351404.9368	2014-08-26 02:48:05.902849	
1351393.6902000001	2014-08-26 02:48:06.923001	
1351382.4267	2014-08-26 02:48:07.943156	
1351371.1464	2014-08-26 02:48:08.963309	
1351359.8495	2014-08-26 02:48:09.983463	
1351348.5359	2014-08-26 02:48:11.003616	
1351337.2057	2014-08-26 02:48:12.023771	
1351325.8589000001	2014-08-26 02:48:13.043925	
1351314.4955	2014-08-26 02:48:14.064078	
1351303.1157	2014-08-26 02:48:15.084230	
1351291.7194000001	2014-08-26 02:48:16.104386	
1351280.3066	2014-08-26 02:48:17.124538	
1351268.8774999999	2014-08-26 02:48:18.144693	
1351257.4321000001	2014-08-26 02:48:19.164845	
1351245.9702999999	2014-08-26 02:48:20.185000	
1351234.4924000001	2014-08-26 02:48:21.205153	
1351222.9982	2014-08-26 02:48:22.225307	
1351211.4878	2014-08-26 02:48:23.245461	
1351199.9613000001	2014-08-26 02:48:24.265615	
1351188.4188000001	2014-08-26 02:48:25.285768	
1351176.8600999999	2014-08-26 02:48:26.305921	
1351165.2855	2014-08-26 02:48:27.326076	
1351153.6950000001	2014-08-26 02:48:28.346228	
1351142.0885000001	2014-08-26 02:48:29.366382	
1351130.4661000001	2014-08-26 02:48:30.386536	
1351118.8278999999	2014-08-26 02:48:31.406690	
1351107.1740000001	2014-08-26 02:48:32.426843	
1351095.5042000001	2014-08-26 02:48:33.446998	
1351083.8188	2014-08-26 02:48:34.467151	
1351072.1177000001	2014-08-26 02:48:35.487305	
1351060.4010000001	2014-08-26 02:48:36.507458	
1351048.6687	2014-08-26 02:48:37.527613	
1351036.9210000001	2014-08-26 02:48:38.547765	
1351025.1577000001	2014-08-26 02:48:39.567918	
1351013.3788999999	2014-08-26 02:48:40.588073	
1351001.5848000001	2014-08-26 02:48:41.608226	
1350989.7753000001	2014-08-26 02:48:42.628380	
1350977.9505	2014-08-26 02:48:43.648533	
1350966.1104000001	2014-08-26 02:48:44.668688	
1350954.2549999999	2014-08-26 02:48:45.688842	
1350942.3844999999	2014-08-26 02:48:46.708995	
1350930.4989	2014-08-26 02:48:47.729149	
1350918.5981000001	2014-08-26 02:48:48.749303	
1350906.6823	2014-08-26 02:48:49.769455	
1350894.7515	2014-08-26 02:48:50.789609	
1350882.8056999999	2014-08-26 02:48:51.809762	
1350870.845	2014-08-26 02:48:52.829917	
1350858.8694	2014-08-26 02:48:53.850070	
1350846.879	2014-08-26 02:48:54.870224	
1350834.8737999999	2014-08-26 02:48:55.890377	
1350822.8537999999	2014-08-26 02:48:56.910532	
1350810.8191	2014-08-26 02:48:57.930686	
1350798.7697000001	2014-08-26 02:48:58.950839	
1350786.7058000001	2014-08-26 02:48:59.970991	
1350774.6272	2014-08-26 02:49:00.991147	
1350762.5341	2014-08-26 02:49:02.011299	
1350750.4265999999	2014-08-26 02:49:03.031454	
1350738.3045999999	2014-08-26 02:49:04.051606	
1350726.1682	2014-08-26 02:49:05.071761	
1350714.0174	2014-08-26 02:49:06.091914	
1350701.8522999999	2014-08-26 02:49:07.112068	
1350689.673	2014-08-26 02:49:08.132221	
1350677.4794999999	2014-08-26 02:49:09.152376	
1350665.2718	2014-08-26 02:49:10.172528	
1350653.0499	2014-08-26 02:49:11.192683	
1350640.814	2014-08-26 02:49:12.212835	
1350628.564	2014-08-26 02:49:13.232991	
1350616.3	2014-08-26 02:49:14.253143	
1350604.0220999999	2014-08-26 02:49:15.273296	
1350591.7302000001	2014-08-26 02:49:16.293450	
1350579.4245	2014-08-26 02:49:17.313604	
1350567.105	2014-08-26 02:49:18.333759	
1350554.7716999999	2014-08-26 02:49:19.353912	
1350542.4247000001	2014-08-26 02:49:20.374066	
1350530.064	2014-08-26 02:49:21.394218	
1350517.6897	2014-08-26 02:49:22.414374	
1350505.3018	2014-08-26 02:49:23.434526	
1350492.9003000001	2014-08-26 02:49:24.454679	
1350480.4853000001	2014-08-26 02:49:25.474833	
1350468.0569	2014-08-26 02:49:26.494987	
1350455.6151000001	2014-08-26 02:49:27.515141	
1350443.1599000001	2014-08-26 02:49:28.535295	
1350430.6913999999	2014-08-26 02:49:29.555448	
1350418.2095999999	2014-08-26 02:49:30.575603	
1350405.7146000001	2014-08-26 02:49:31.595756	
1350393.2064	2014-08-26 02:49:32.615910	
1350380.6850000001	2014-08-26 02:49:33.636063	
1350368.1506000001	2014-08-26 02:49:34.656216	
1350355.6032	2014-08-26 02:49:35.676370	
1350343.0427000001	2014-08-26 02:49:36.696523	
1350330.4693	2014-08-26 02:49:37.716677	
1350317.8829999999	2014-08-26 02:49:38.736831	
1350305.2838000001	2014-08-26 02:49:39.756985	
1350292.6717999999	2014-08-26 02:49:40.777139	
1350280.0471000001	2014-08-26 02:49:41.797292	
